route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
95-0,"1",95,Souchais - Haluchère - Batignolles,,3,cbd300,000000
96-0,"1",96,La Chapelle Aulnay - Beauséjour,,3,f8b323,000000
97-0,"1",97,Vertou - Trentemoult,,3,beabd0,ffffff
98-0,"1",98,St-Aignan de Grand Lieu - Gréneraie,,3,f8b323,000000
101-0,"1",101,Mairie de Couëron - Sinière,,3,ffffff,e53138
102-0,"1",102,Chalonges - René Bernier,,3,ffffff,e53138
104-0,"1",104,Les Sorinières - Petite Lande,,3,ffffff,e53138
105-0,"1",105,Chantrerie - Port Boyer,,3,ffffff,e53138
106-0,"1",106,Bout des Pavés - Réfractaires,,3,ffffff,e53138
107-0,"1",107,Bournière - Reinetière,,3,ffffff,e53138
109-0,"1",109,Ferrière - Couchant,,3,ffffff,e53138
111-0,"1",111,ADAPEI à Tillay - Lycée Appert,,3,ffffff,e53138
112-0,"1",112,St Blaise - Savarières,,3,ffffff,e53138
114-0,"1",114,Croix Jeanette - Gréneraie,,3,ffffff,e53138
116-0,"1",116,Coutancière - Cholière,,3,ffffff,e53138
117-0,"1",117,Le Halleray - Reinetière,,3,ffffff,e53138
119-0,"1",119,Mairie d'Orvault - Angevinière,,3,ffffff,e53138
121-0,"1",121,Mendès France Bellevue - Gare de Chantenay,,3,ffffff,e53138
122-0,"1",122,Savarières - St Blaise,,3,ffffff,e53138
125-0,"1",125,Toutes Aides - Bois-St-Lys,,3,ffffff,e53138
126-0,"1",126,Coutancière - Bout des Pavés,,3,ffffff,e53138
127-0,"1",127,Toutes Aides - Bussonnière,,3,ffffff,e53138
128-0,"1",128,Pé de Buzay - Lycée d'Orbigny,,3,ffffff,e53138
129-0,"1",129,Les Anges - Angevinière,,3,ffffff,e53138
131-0,"1",131,Bac de Couëron - Mendès France Bellevue,,3,ffffff,e53138
132-0,"1",132,République - Bourdonnières,,3,ffffff,e53138
137-0,"1",137,Centre de Thouaré - Toutes Aides,,3,ffffff,e53138
138-0,"1",138,Le Pellerin - Lycée d'Orbigny,,3,ffffff,e53138
139-0,"1",139,Sautron - Cheverny,,3,ffffff,e53138
142-0,"1",142,CAT Vertonne - Porte de Vertou,,3,ffffff,e53138
147-0,"1",147,Bournière - Toutes Aides,,3,ffffff,e53138
148-0,"1",148,Lycée Bois Tillac - Tour Eiffel,,3,ffffff,e53138
149-0,"1",149,Cheverny - Sautron,,3,ffffff,e53138
152-0,"1",152,La Herdrie - Pirmil,,3,ffffff,e53138
157-0,"1",157,Toutes Aides - Le Halleray,,3,ffffff,e53138
158-0,"1",158,St Jean de Boisseau - Lycée de Bouaye,,3,ffffff,e53138
159-0,"1",159,Sautron - Angevinière,,3,ffffff,e53138
167-0,"1",167,St JB de la salle - Thouaré,,3,ffffff,e53138
168-0,"1",168,La Montagne - Lycée d'Orbigny,,3,ffffff,e53138
169-0,"1",169,Sautron - Thébaudières,,3,ffffff,e53138
177-0,"1",177,Helvétie - Nobel,,3,ffffff,e53138
179-0,"1",179,Les Anges - Orvault-Morlière,,3,ffffff,e53138
187-0,"1",187,CIFAM - Haluchère-Batignolles,,3,ffffff,e53138
189-0,"1",189,Pont Marchand - Angevinière,,3,ffffff,e53138
C1-0,"1",C1,Haluchère - Batignolles - Gare de Chantenay,,3,34b4e4,ffffff
C2-0,"1",C2,Le Cardo - Commerce,,3,ed7703,ffffff
C3-0,"1",C3,Bd Charles Gautier - Bd de Doulon,,3,f8b323,000000
C4-0,"1",C4,Les Sorinières - Gréneraie,,3,77ad1c,ffffff
C5-0,"1",C5,Quai des Antilles - Gare SNCF Sud,,3,b5ddf3,000000
C6-0,"1",C6,Chantrerie Grandes Ecoles - Hermeland,,3,beabd0,ffffff
C7-0,"1",C7,Trianon / Clairais - Souillarderie,,3,cbd300,000000
E1-0,"1",E1,Couëron Océan - Gare Maritime,,3,e53138,ffffff
E4-0,"1",E4,Porte de Vertou - Vertou,,3,e53138,ffffff
E5-0,"1",E5,Carquefou - Fac de Droit,,3,e53138,ffffff
E8-0,"1",E8,Le Pellerin - Greneraie,,3,e53138,ffffff
NA-0,"1",NA,Nantes Atlantique - Commerce,,3,34b4e4,ffffff
NL-0,"1",NL,Trentemoult - Roquios - Gare Maritime,,3,0079bc,ffffff
