stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
StopPoint:MKSU2,"Malakoff",,47.21600070,-1.52126108,,,0,StopArea:MKSU,1
StopPoint:MLAN1,"Magellan",,47.18816871,-1.46442750,,,0,StopArea:MLAN,1
StopPoint:MLAN2,"Magellan",,47.18808321,-1.46428932,,,0,StopArea:MLAN,1
StopPoint:MLCH1,"Morlachère",,47.16180846,-1.48262804,,,0,StopArea:MLCH,1
StopPoint:MLCH3,"Morlachère",,47.16204305,-1.48370116,,,0,StopArea:MLCH,1
StopPoint:MLDR1,"Maladrie",,47.18808041,-1.49427894,,,0,StopArea:MLDR,1
StopPoint:MLDR2,"Maladrie",,47.18828419,-1.49627525,,,0,StopArea:MLDR,1
StopPoint:MLHE1,"Moulin Hérel",,47.21943384,-1.63757971,,,0,StopArea:MLHE,1
StopPoint:MLHE2,"Moulin Hérel",,47.21961352,-1.63759306,,,0,StopArea:MLHE,1
StopPoint:MLIN1,"Moulin",,47.18866730,-1.50370123,,,0,StopArea:MLIN,1
StopPoint:MLIN2,"Moulin",,47.18888850,-1.50517039,,,0,StopArea:MLIN,1
StopPoint:MLLI1,"Mellinet",,47.21089003,-1.57667075,,,0,StopArea:MLLI,1
StopPoint:MLLI2,"Mellinet",,47.21181087,-1.57607719,,,0,StopArea:MLLI,1
StopPoint:MLLI3,"Mellinet",,47.21175266,-1.57779128,,,0,StopArea:MLLI,1
StopPoint:MLLI4,"Mellinet",,47.21119539,-1.57563565,,,0,StopArea:MLLI,1
StopPoint:MLNE1,"Moulinets",,47.20981473,-1.62919879,,,0,StopArea:MLNE,2
StopPoint:MLNE2,"Moulinets",,47.20999442,-1.62921210,,,0,StopArea:MLNE,2
StopPoint:MLON1,"Mulonnière",,47.26601192,-1.55000977,,,0,StopArea:MLON,1
StopPoint:MLON2,"Mulonnière",,47.26556269,-1.54997711,,,0,StopArea:MLON,1
StopPoint:MLRA1,"Malraux",,47.25440647,-1.51741841,,,0,StopArea:MLRA,2
StopPoint:MLRA2,"Malraux",,47.25430780,-1.51767585,,,0,StopArea:MLRA,1
StopPoint:MMNA2,"Mermoz",,47.23971251,-1.58459890,,,0,StopArea:MMNA,1
StopPoint:MMNA3,"Mermoz",,47.23933968,-1.58496831,,,0,StopArea:MMNA,1
StopPoint:MMSS1,"Mermoz",,47.19872011,-1.51552255,,,0,StopArea:MMSS,1
StopPoint:MMSS2,"Mermoz",,47.19880996,-1.51552901,,,0,StopArea:MMSS,2
StopPoint:MNEF1,"Moulin Neuf",,47.23012122,-1.51646184,,,0,StopArea:MNEF,2
StopPoint:MNEF2,"Moulin Neuf",,47.22985168,-1.51644242,,,0,StopArea:MNEF,1
StopPoint:MNFA1,"Manufacture",,47.21878391,-1.53712407,,,0,StopArea:MNFA,1
StopPoint:MNFA2,"Manufacture",,47.21869021,-1.53774125,,,0,StopArea:MNFA,1
StopPoint:MNFA3,"Manufacture",,47.21900053,-1.53654753,,,0,StopArea:MNFA,2
